seed,score_name,score,label,mask_area_ratio,series_key,image_path,mask_path,is_false_pass_at_safe5
123,max_score,0.9999996423721313,1,0.03903337851575737,kolektor_sdd2/test/,/home/shunya/codex-gpu-work/data/kolektor_sdd2/test/20042.png,/home/shunya/codex-gpu-work/data/kolektor_sdd2/test/20042_GT.png,False
123,max_score,0.9999996423721313,1,0.010493827160493827,kolektor_sdd2/test/,/home/shunya/codex-gpu-work/data/kolektor_sdd2/test/20056.png,/home/shunya/codex-gpu-work/data/kolektor_sdd2/test/20056_GT.png,False
123,max_score,0.999998927116394,1,0.015841922053102177,kolektor_sdd2/test/,/home/shunya/codex-gpu-work/data/kolektor_sdd2/test/20068.png,/home/shunya/codex-gpu-work/data/kolektor_sdd2/test/20068_GT.png,False
123,max_score,0.9999998807907104,1,0.030697528206600107,kolektor_sdd2/test/,/home/shunya/codex-gpu-work/data/kolektor_sdd2/test/20084.png,/home/shunya/codex-gpu-work/data/kolektor_sdd2/test/20084_GT.png,False
123,max_score,0.9999793767929077,1,0.029913755495150844,kolektor_sdd2/test/,/home/shunya/codex-gpu-work/data/kolektor_sdd2/test/20095.png,/home/shunya/codex-gpu-work/data/kolektor_sdd2/test/20095_GT.png,False
123,max_score,1.0,1,0.0258344140331718,kolektor_sdd2/test/,/home/shunya/codex-gpu-work/data/kolektor_sdd2/test/20099.png,/home/shunya/codex-gpu-work/data/kolektor_sdd2/test/20099_GT.png,False
123,max_score,1.0,1,0.022166670053993996,kolektor_sdd2/test/,/home/shunya/codex-gpu-work/data/kolektor_sdd2/test/20117.png,/home/shunya/codex-gpu-work/data/kolektor_sdd2/test/20117_GT.png,False
123,max_score,0.9999942779541016,1,0.03427639110733309,kolektor_sdd2/test/,/home/shunya/codex-gpu-work/data/kolektor_sdd2/test/20118.png,/home/shunya/codex-gpu-work/data/kolektor_sdd2/test/20118_GT.png,False
123,max_score,0.999998927116394,1,0.04474459226160252,kolektor_sdd2/test/,/home/shunya/codex-gpu-work/data/kolektor_sdd2/test/20121.png,/home/shunya/codex-gpu-work/data/kolektor_sdd2/test/20121_GT.png,False
123,max_score,1.0,1,0.014412960908877013,kolektor_sdd2/test/,/home/shunya/codex-gpu-work/data/kolektor_sdd2/test/20125.png,/home/shunya/codex-gpu-work/data/kolektor_sdd2/test/20125_GT.png,False
